,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
130,Esidende,05:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:18.341603,Uthiru,Koyonzo,600,2019-09-05,Uthiru,Koyonzo,67.0
131,Cheptais,05:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:20.906386,Uthiru,Lwandanyi,1000,2019-09-05,Uthiru,Lwandanyi,65.0
132,Cheptais,05:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:20.906407,Uthiru,Lwandanyi,1000,2019-09-05,Uthiru,Lwandanyi,66.0
133,Cheptais,06:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:20.906410,Uthiru,Lwandanyi,800,2019-09-05,Uthiru,Lwandanyi,67.0
134,Cheptais,07:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:20.906413,Uthiru,Lwandanyi,800,2019-09-05,Uthiru,Lwandanyi,67.0
135,Cheptais,07:10 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:20.906415,Uthiru,Lwandanyi,800,2019-09-05,Uthiru,Lwandanyi,48.0
136,MASENO,07:30 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:48:27.576667,Kisumu,Maseno,1450,2019-09-05,Kisumu,Maseno,28.0
137,MASENO,09:15 AM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:48:27.576691,Kisumu,Maseno,1500,2019-09-05,Kisumu,Maseno,19.0
138,MASENO,08:30 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:48:27.576696,Kisumu,Maseno,200,2019-09-05,Kisumu,Maseno,26.0
139,MASENO,08:45 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:48:27.576700,Kisumu,Maseno,2500,2019-09-05,Kisumu,Maseno,30.0
140,MASENO,09:00 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:48:27.576705,Kisumu,Maseno,1500,2019-09-05,Kisumu,Maseno,25.0
141,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:31.538834,Kimilili,Uthiru,1000,2019-09-05,Kimilili,Uthiru,48.0
