,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
14584,Esidende,06:30 AM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:21:45.209933,Westlands,Z,600,2019-08-28,Westlands,Z,67.0
14585,Esidende,05:30 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:21:45.209960,Westlands,Z,600,2019-08-28,Westlands,Z,67.0
14586,malaba,07:00 AM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:21:48.032798,Webuye,Malaba,300,2019-08-28,Webuye,Malaba,32.0
14587,malaba,07:00 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:21:48.032817,Webuye,Malaba,300,2019-08-28,Webuye,Malaba,32.0
14588,Makunga,08:00 AM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:21:50.567805,Westlands,Mumias,600,2019-08-28,Westlands,Mumias,67.0
14589,Makunga,08:00 AM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:21:50.567823,Westlands,Mumias,600,2019-08-28,Westlands,Mumias,48.0
14590,Makunga,07:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:21:50.567825,Westlands,Mumias,600,2019-08-28,Westlands,Mumias,67.0
14591,Makunga,07:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:21:50.567828,Westlands,Mumias,600,2019-08-28,Westlands,Mumias,48.0
14592,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:21:52.804449,Kangemi,Gatua,1000,2019-08-28,Kangemi,Gatua,48.0
14593,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:21:52.804470,Kangemi,Gatua,600,2019-08-28,Kangemi,Gatua,67.0
14594,SIAYA,07:30 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:21:55.699520,Nakuru,Siaya,800,2019-08-28,Nakuru,Siaya,32.0
14595,Kitale,08:30 AM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:21:58.177659,Nakuru,Kitale,850,2019-08-28,Nakuru,Kitale,32.0
14596,Kitale,08:00 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:21:58.177678,Nakuru,Kitale,850,2019-08-28,Nakuru,Kitale,32.0
